math score,reading score,writing score,average_score,performance_level,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
71,84,87,80.66666666666667,B,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
33,41,43,39.0,E,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
82,85,86,84.33333333333333,B,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
52,55,49,52.0,D,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
58,59,58,58.333333333333336,D,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
0,17,10,9.0,E,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
79,74,72,75.0,B,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
39,39,34,37.333333333333336,E,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
62,61,55,59.333333333333336,D,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
69,80,71,73.33333333333333,C,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
59,58,59,58.666666666666664,D,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
67,64,61,64.0,C,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
45,37,37,39.666666666666664,E,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
60,72,74,68.66666666666667,C,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
61,58,56,58.333333333333336,D,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
39,64,57,53.333333333333336,D,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
58,63,73,64.66666666666667,C,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
63,55,63,60.333333333333336,C,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
41,51,48,46.666666666666664,E,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
61,57,56,58.0,D,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
49,49,41,46.333333333333336,E,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
44,41,38,41.0,E,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
30,26,22,26.0,E,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
80,78,81,79.66666666666667,B,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
61,74,72,69.0,C,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
62,68,68,66.0,C,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
47,49,50,48.666666666666664,E,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
49,45,45,46.333333333333336,E,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
50,47,54,50.333333333333336,D,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
72,64,63,66.33333333333333,C,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
42,39,34,38.333333333333336,E,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
73,80,82,78.33333333333333,B,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
76,83,88,82.33333333333333,B,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
71,71,74,72.0,C,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
58,70,67,65.0,C,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
73,86,82,80.33333333333333,B,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
65,72,74,70.33333333333333,C,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
27,34,36,32.333333333333336,E,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
71,79,71,73.66666666666667,C,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
43,45,50,46.0,E,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
79,86,92,85.66666666666667,A,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
78,81,82,80.33333333333333,B,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
65,66,62,64.33333333333333,C,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
63,72,70,68.33333333333333,C,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
58,67,62,62.333333333333336,C,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
65,67,62,64.66666666666667,C,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
79,67,67,71.0,C,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
68,74,74,72.0,C,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
85,91,89,88.33333333333333,A,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
60,44,47,50.333333333333336,D,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
98,86,90,91.33333333333333,A,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
58,67,72,65.66666666666667,C,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
87,100,100,95.66666666666667,A,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
66,63,64,64.33333333333333,C,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
52,76,70,66.0,C,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
70,64,72,68.66666666666667,C,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
77,89,98,88.0,A,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
62,55,49,55.333333333333336,D,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
54,53,47,51.333333333333336,D,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
51,58,54,54.333333333333336,D,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
99,100,100,99.66666666666667,A,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
84,77,74,78.33333333333333,B,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
75,85,82,80.66666666666667,B,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
78,82,79,79.66666666666667,B,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
51,63,61,58.333333333333336,D,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
55,69,65,63.0,C,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
79,92,89,86.66666666666667,A,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
91,89,92,90.66666666666667,A,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
88,93,93,91.33333333333333,A,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
63,57,56,58.666666666666664,D,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
83,80,73,78.66666666666667,B,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
87,95,86,89.33333333333333,A,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
72,68,67,69.0,C,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
65,77,74,72.0,C,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
82,82,74,79.33333333333333,B,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
51,49,51,50.333333333333336,D,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
89,84,82,85.0,A,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
53,37,40,43.333333333333336,E,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
87,74,70,77.0,B,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
75,81,84,80.0,B,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
74,79,75,76.0,B,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
58,55,48,53.666666666666664,D,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
51,54,41,48.666666666666664,E,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
70,55,56,60.333333333333336,C,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
59,66,67,64.0,C,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
71,61,69,67.0,C,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
76,72,71,73.0,C,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
59,62,64,61.666666666666664,C,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
42,55,54,50.333333333333336,D,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
57,43,47,49.0,E,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
88,73,78,79.66666666666667,B,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
22,39,33,31.333333333333332,E,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
88,84,75,82.33333333333333,B,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
73,68,66,69.0,C,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
68,75,81,74.66666666666667,C,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
100,100,93,97.66666666666667,A,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
62,67,69,66.0,C,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
77,67,68,70.66666666666667,C,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
59,70,66,65.0,C,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
54,49,47,50.0,D,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
62,67,61,63.333333333333336,C,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
70,89,88,82.33333333333333,B,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
66,74,78,72.66666666666667,C,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
60,60,60,60.0,C,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
61,86,87,78.0,B,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
66,62,64,64.0,C,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
82,78,74,78.0,B,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
75,88,85,82.66666666666667,B,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
49,53,52,51.333333333333336,D,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
52,53,49,51.333333333333336,D,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
81,92,91,88.0,A,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
96,100,100,98.66666666666667,A,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
53,51,51,51.666666666666664,D,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
58,76,78,70.66666666666667,C,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
68,83,78,76.33333333333333,B,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
67,75,70,70.66666666666667,C,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
72,73,74,73.0,C,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
94,88,78,86.66666666666667,A,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
79,86,81,82.0,B,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
63,67,70,66.66666666666667,C,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
43,51,54,49.333333333333336,E,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
81,91,87,86.33333333333333,A,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
46,54,58,52.666666666666664,D,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
71,77,77,75.0,B,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
52,70,62,61.333333333333336,C,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
97,100,100,99.0,A,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
62,68,75,68.33333333333333,C,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
46,64,66,58.666666666666664,D,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
50,50,47,49.0,E,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
65,69,70,68.0,C,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
45,52,49,48.666666666666664,E,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
65,67,65,65.66666666666667,C,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
80,76,65,73.66666666666667,C,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
62,66,68,65.33333333333333,C,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
48,52,45,48.333333333333336,E,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
77,88,87,84.0,B,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
66,65,69,66.66666666666667,C,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
76,83,79,79.33333333333333,B,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
62,64,66,64.0,C,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
77,62,62,67.0,C,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
69,84,85,79.33333333333333,B,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
61,55,52,56.0,D,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
59,69,65,64.33333333333333,C,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
55,56,51,54.0,D,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
45,53,55,51.0,D,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
78,79,76,77.66666666666667,B,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
67,84,86,79.0,B,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
65,81,77,74.33333333333333,C,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
69,77,69,71.66666666666667,C,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
57,69,68,64.66666666666667,C,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
59,41,42,47.333333333333336,E,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
74,71,78,74.33333333333333,C,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
82,62,62,68.66666666666667,C,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
81,80,76,79.0,B,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
74,81,76,77.0,B,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
58,61,66,61.666666666666664,C,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
80,79,79,79.33333333333333,B,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
35,28,27,30.0,E,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
42,62,60,54.666666666666664,D,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
60,51,56,55.666666666666664,D,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
87,91,81,86.33333333333333,A,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
84,83,75,80.66666666666667,B,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
83,86,88,85.66666666666667,A,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
34,42,39,38.333333333333336,E,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
66,77,70,71.0,C,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
61,56,56,57.666666666666664,D,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
56,68,74,66.0,C,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
87,85,73,81.66666666666667,B,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
55,65,62,60.666666666666664,C,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
86,80,75,80.33333333333333,B,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
52,66,73,63.666666666666664,C,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
45,56,54,51.666666666666664,D,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
72,72,71,71.66666666666667,C,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
57,50,54,53.666666666666664,D,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
68,72,64,68.0,C,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
88,95,94,92.33333333333333,A,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
76,64,66,68.66666666666667,C,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
46,43,42,43.666666666666664,E,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
67,86,83,78.66666666666667,B,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
92,87,78,85.66666666666667,A,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
83,82,84,83.0,B,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
80,75,77,77.33333333333333,B,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
63,66,67,65.33333333333333,C,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
64,60,74,66.0,C,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
54,52,51,52.333333333333336,D,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
84,80,80,81.33333333333333,B,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
73,68,66,69.0,C,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
80,83,83,82.0,B,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
56,52,55,54.333333333333336,D,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
59,51,43,51.0,D,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
75,74,69,72.66666666666667,C,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
85,76,71,77.33333333333333,B,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
89,76,74,79.66666666666667,B,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
58,70,68,65.33333333333333,C,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
65,64,62,63.666666666666664,C,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
68,60,53,60.333333333333336,C,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
47,49,49,48.333333333333336,E,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
71,83,83,79.0,B,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
60,70,70,66.66666666666667,C,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
80,80,72,77.33333333333333,B,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
54,52,52,52.666666666666664,D,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
62,73,70,68.33333333333333,C,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
64,73,68,68.33333333333333,C,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
78,77,77,77.33333333333333,B,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
70,75,78,74.33333333333333,C,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
65,81,81,75.66666666666667,B,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
64,79,77,73.33333333333333,C,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
79,79,78,78.66666666666667,B,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
44,50,51,48.333333333333336,E,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
99,93,90,94.0,A,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
76,73,68,72.33333333333333,C,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
59,42,41,47.333333333333336,E,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
63,75,81,73.0,C,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
69,72,77,72.66666666666667,C,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
88,92,95,91.66666666666667,A,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
71,76,70,72.33333333333333,C,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
69,63,61,64.33333333333333,C,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
58,49,42,49.666666666666664,E,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
47,53,58,52.666666666666664,D,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
65,70,71,68.66666666666667,C,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
88,85,76,83.0,B,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
83,78,73,78.0,B,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
85,92,93,90.0,A,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
59,63,75,65.66666666666667,C,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
65,86,80,77.0,B,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
